asset_type,building_key,tier,band,band_alt,legal_kind,n,n_1,n_low,n_mid,n_high,n_top,max_floor,addr1,addr2,addr3,addr4,place
apartment,02a919b7dd3363abdfe666a3a096ec706a81fd71f4cf8bebd2abb73a72730dea,other_urban,le15,le20,dong,1506,92,301,612,395,106,15.0,충청남도,천안시,동남구,신방동,신방동
apartment,02aeac95599f2a9bb9b5c07f05716f6301124322e7c88aee2c3f49ead0afee3d,metro,ge26,m21_30,dong,432,8,99,185,128,12,27.0,경기도,평택시,동삭동,,동삭동
apartment,02b086c3f4e6661320978aa62aecd679c64d9626c331d6579e359b46cd742858,metro,m16_25,le20,dong,209,12,43,81,62,11,18.0,경기도,용인시,수지구,죽전동,죽전동
apartment,02b0b4c9f753d41742f8fa9c1a0ef34278a8171fb11cfa25961ed468db0a2d82,metro_city,m16_25,m21_30,dong,134,9,50,54,20,1,25.0,대전광역시,유성구,관평동,,관평동
apartment,02b8c35e4547100153ae87b4ec1cfdfa2152b162b897ca6e22695abf3a0f6c7d,metro,le15,le20,dong,86,5,17,36,23,5,12.0,인천광역시,남동구,간석동,,간석동
apartment,02b9e4a1db1a5c6e5455d857cadd33019149647333d71709783db67aed3028b1,metro_city,m16_25,m21_30,dong,198,8,60,96,29,5,25.0,대전광역시,중구,태평동,,태평동
apartment,02ba92efa963cc6c61c0e555ebdd1b8380d7cb339f1daf0fd0b736aa88559da3,metro,m16_25,le20,dong,147,5,39,51,45,7,20.0,경기도,용인시,수지구,풍덕천동,풍덕천동
apartment,02c6390269863b267e4b801e3fd7d53062a0c625705288d18346e7dc56aa01ad,other_urban,le15,le20,dong,159,11,32,62,45,9,15.0,전남광주통합특별시,북구,문흥동,,문흥동
apartment,02c885001fa81afa92a7a73033fc7ceb8194c6b482bfb8ca6d28f61b45bf33de,metro,m16_25,m21_30,dong,161,6,48,57,45,5,25.0,경기도,시흥시,능곡동,,능곡동
apartment,02cf579fd122d0a2f51c40755ba8f2d2a470db7c9642ce52bae6d5404fc5cf3c,other_urban,m16_25,le20,dong,236,6,67,79,72,12,20.0,충청북도,청주시,서원구,성화동,성화동
