sido_name,sigungu_name,sigungu_code,land_category,region_type,direction_large,delta_median_large,direction_tiny,n,p90_p50,population,urban_share,median_unit_price,direction_within,delta_median_within,ci_lo_within,ci_hi_within,within_vs_cell,n_dongs_both,within_reason
세종특별자치시,전동면,36110,전,urban_rural,neutral,-0.1217,higher,1600,2.8718,391965,0.9413,23.65,neutral,0.0103,-0.23,0.2605,same,65,
세종특별자치시,장군면,36110,전,urban_rural,neutral,-0.1217,higher,1600,2.8718,391965,0.9413,23.65,neutral,0.0103,-0.23,0.2605,same,65,
세종특별자치시,연서면,36110,전,urban_rural,neutral,-0.1217,higher,1600,2.8718,391965,0.9413,23.65,neutral,0.0103,-0.23,0.2605,same,65,
경기도,수원시 권선구,41113,답,cap_city,lower,-0.3595,higher,236,3.4899,361064,1.0,88.4,neutral,-0.2314,-0.4654,0.098,to_neutral,10,
경기도,수원시 권선구,41113,대,cap_city,neutral,0.0593,neutral,576,2.8162,361064,1.0,353.7,neutral,0.0941,-0.1491,0.3627,same,10,
경기도,수원시 권선구,41113,전,cap_city,neutral,-0.1129,neutral,263,5.2127,361064,1.0,94.6,neutral,0.1513,-0.2441,0.7476,same,9,
경기도,수원시 영통구,41117,대,cap_city,lower,-0.9995,skip,230,17.5562,362493,1.0,1016.0,lower,-0.9995,-0.9996,-0.707,same,4,
경기도,성남시 수정구,41131,대,cap_city,neutral,-0.3951,lower,226,15.7863,232389,1.0,664.7,neutral,0.0588,-0.3484,0.811,same,5,
경기도,의정부시,41150,대,cap_city,higher,0.2526,neutral,458,3.827,461572,1.0,214.0,higher,0.2271,0.0695,0.5732,same,8,
경기도,의정부시,41150,전,cap_city,neutral,-0.3993,neutral,256,4.1909,461572,1.0,60.7,neutral,-0.3993,-0.754,0.1263,same,10,
경기도,광명시,41210,대,cap_city,higher,0.1099,higher,390,3.4671,293947,1.0,448.65,neutral,0.043,-0.0641,0.1219,to_neutral,3,
경기도,평택시,41220,답,cap_city,lower,-0.477,higher,4600,3.2168,610402,0.4737,17.3,lower,-0.381,-0.3974,-0.3051,same,79,
경기도,평택시,41220,대,cap_city,lower,-0.4868,lower,2430,2.7373,610402,0.9918,128.55,lower,-0.383,-0.5,-0.2471,same,68,
경기도,평택시,41220,전,cap_city,lower,-0.1418,neutral,3095,4.4185,610402,0.9305,42.1,lower,-0.097,-0.2764,-0.0077,same,81,
경기도,동두천시,41250,답,cap_city,lower,-0.3418,neutral,200,5.1903,86438,0.98,23.9,neutral,-0.0316,-0.3289,0.4431,to_neutral,5,
경기도,동두천시,41250,대,cap_city,lower,-0.4105,neutral,480,5.0211,86438,1.0,62.0,lower,-0.4072,-0.5894,-0.0389,same,9,
경기도,동두천시,41250,전,cap_city,lower,-0.3201,higher,549,4.5212,86438,1.0,22.7,lower,-0.3,-0.3783,-0.0524,same,10,
경기도,안산시 단원구,41273,답,cap_city,lower,-0.3278,neutral,938,3.6966,289769,1.0,21.6,lower,-0.3112,-0.3984,-0.186,same,6,
경기도,안산시 단원구,41273,전,cap_city,lower,-0.1805,neutral,842,3.2624,289769,1.0,27.2,lower,-0.1849,-0.2882,-0.0679,same,10,
경기도,고양시 덕양구,41281,답,cap_city,lower,-0.3217,higher,648,3.7656,485546,0.9691,37.2,lower,-0.2981,-0.3917,-0.168,same,21,
경기도,고양시 덕양구,41281,대,cap_city,higher,0.5466,neutral,396,3.9367,485546,0.9975,211.5,higher,0.7024,0.1621,1.7476,same,14,
경기도,고양시 덕양구,41281,전,cap_city,lower,-0.3181,higher,1094,3.7293,485546,0.9872,50.0,lower,-0.289,-0.4213,-0.0849,same,24,
경기도,고양시 일산동구,41285,답,cap_city,neutral,-0.3363,neutral,307,3.3907,296758,0.7818,45.1,neutral,-0.3348,-0.4417,0.3377,same,9,
경기도,고양시 일산동구,41285,대,cap_city,neutral,-0.0214,lower,228,3.4467,296758,0.9956,135.85,neutral,-0.0762,-0.4051,0.7514,same,7,
경기도,고양시 일산동구,41285,전,cap_city,neutral,-0.1811,neutral,507,5.1954,296758,0.9132,51.9,neutral,-0.1775,-0.2995,0.5884,same,9,
경기도,고양시 일산서구,41287,전,cap_city,lower,-0.5919,neutral,219,3.6311,277777,0.5114,47.5,lower,-0.5729,-0.6412,-0.4688,same,5,
경기도,구리시,41310,대,cap_city,higher,0.3251,neutral,199,3.7837,186090,1.0,389.0,higher,0.3251,0.2398,0.4642,same,4,
경기도,남양주시,41360,답,cap_city,lower,-0.3567,higher,1646,4.5364,729754,0.9806,54.5,lower,-0.3567,-0.4616,-0.0846,same,45,
경기도,남양주시,41360,대,cap_city,neutral,-0.206,neutral,1124,3.6464,729754,0.9982,117.5,neutral,-0.1808,-0.3249,0.0562,same,35,
경기도,남양주시,41360,전,cap_city,lower,-0.167,higher,2510,4.3884,729754,0.9968,47.6,lower,-0.1578,-0.2857,-0.0575,same,52,
경기도,오산시,41370,답,cap_city,neutral,-0.131,higher,590,3.3543,249410,1.0,78.15,neutral,-0.1456,-0.2537,0.2994,same,12,
경기도,오산시,41370,대,cap_city,neutral,-0.0258,lower,421,3.6647,249410,1.0,182.0,neutral,-0.0347,-0.2531,0.1596,same,16,
경기도,오산시,41370,전,cap_city,neutral,-0.0958,neutral,505,3.6676,249410,1.0,87.0,neutral,-0.0871,-0.3116,0.1477,same,12,
