sido_code,sido_name,sigungu_code,sigungu_name,land_category,region_type,n,area_p10,area_p50,area_p75,area_p90,p90_p50,n_ge_300,n_ge_500,n_ge_1000,n_ge_3000,n_ge_5000,n_dongs,dong_n_median,eligible,gate_reasons,n_tier,b_preview
12,전남광주통합특별시,12330,광산구,전,metro_gu,833,83.2,532.0,1018.0,1649.2,3.1,546,441,223,22,8,69,8.0,False,['no_gate_for_type_jimok'],better,B_ok
12,전남광주통합특별시,12710,담양군,답,gun,3163,200.0,1253.0,2125.5,3000.0,2.3943,2720,2467,1859,397,14,12,265.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12710,담양군,대,gun,1026,27.0,265.0,445.5,627.0,2.366,467,211,32,2,0,12,65.5,True,[],better,B_ok
12,전남광주통합특별시,12710,담양군,전,gun,1769,98.6,555.0,1078.0,1617.6,2.9146,1198,936,501,31,15,12,137.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12720,곡성군,답,gun,3087,287.0,1359.0,2150.5,2971.0,2.1862,2766,2574,1991,271,14,11,277.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12720,곡성군,대,gun,712,39.1,249.0,377.75,555.9,2.2325,277,98,12,0,0,11,55.0,True,[],better,B_ok
12,전남광주통합특별시,12720,곡성군,전,gun,1623,136.2,675.0,1263.0,1876.04,2.7793,1239,1000,556,48,11,11,155.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12730,구례군,답,gun,2040,185.0,1180.0,2000.25,2964.3,2.5121,1710,1527,1150,169,7,8,267.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12730,구례군,대,gun,520,25.0,190.0,346.25,584.14,3.0744,163,68,6,1,0,8,52.5,True,[],better,B_ok
12,전남광주통합특별시,12730,구례군,전,gun,1016,101.5,492.5,909.75,1481.5,3.0081,698,502,214,27,6,8,117.0,True,[],better,B_ok
12,전남광주통합특별시,12740,고흥군,답,gun,6780,299.92,1461.05,2500.0,3976.11,2.7214,6102,5648,4453,1233,291,16,404.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12740,고흥군,대,gun,1767,30.54,222.0,360.0,549.0,2.473,624,212,43,2,2,16,105.5,True,[],better,B_ok
12,전남광주통합특별시,12740,고흥군,전,gun,5283,159.0,807.0,1322.0,1968.6,2.4394,4236,3577,2096,170,66,16,334.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12750,보성군,답,gun,5342,335.4,1590.0,2543.65,3255.7,2.0476,4857,4565,3776,795,127,12,353.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12750,보성군,대,gun,1222,49.0,263.5,432.65,677.0,2.5693,532,237,52,2,0,12,59.0,True,[],better,B_ok
12,전남광주통합특별시,12750,보성군,전,gun,2663,138.0,757.0,1363.0,2202.0,2.9089,2066,1697,1051,152,79,12,181.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12760,화순군,답,gun,3778,195.0,1160.1,1894.0,2853.3,2.4595,3236,2930,2142,282,16,13,281.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12760,화순군,대,gun,1102,23.0,240.5,406.95,574.95,2.3906,443,180,27,2,2,13,78.0,True,[],better,B_ok
12,전남광주통합특별시,12760,화순군,전,gun,2679,120.0,691.0,1210.0,1861.0,2.6932,1990,1634,900,76,29,13,232.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12770,장흥군,답,gun,4584,397.3,1765.25,2646.225,3517.7,1.9927,4220,4024,3376,783,81,10,418.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12770,장흥군,대,gun,1036,46.0,232.5,399.625,601.0,2.5849,400,156,16,0,0,10,102.0,True,[],better,B_ok
12,전남광주통합특별시,12770,장흥군,전,gun,2035,149.0,724.0,1287.5,1862.8,2.5729,1584,1307,743,59,24,10,175.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12780,강진군,답,gun,4562,493.0,1924.0,2853.6,3128.9,1.6262,4286,4097,3557,791,175,11,493.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12780,강진군,대,gun,790,30.0,240.35,397.0,643.23,2.6762,318,138,28,1,1,11,67.0,True,[],better,B_ok
12,전남광주통합특별시,12780,강진군,전,gun,1526,144.0,743.0,1286.75,1905.0,2.5639,1193,990,566,47,19,11,150.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12790,해남군,답,gun,8760,417.0,1885.0,2960.625,4000.0,2.122,8159,7708,6562,2003,531,14,635.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12790,해남군,대,gun,1939,50.8,301.0,483.0,721.8,2.398,974,440,84,16,12,14,136.5,True,[],better,B_ok
12,전남광주통합특별시,12790,해남군,전,gun,7069,239.9,1180.0,1986.0,3114.0,2.639,6186,5543,4073,778,264,14,460.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12800,영암군,답,gun,6134,409.3,1815.0,2985.0,4751.8,2.6181,5709,5375,4504,1510,502,11,528.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12800,영암군,대,gun,1274,60.0,281.0,482.125,742.8,2.6434,605,295,52,6,3,11,83.0,True,[],better,B_ok
12,전남광주통합특별시,12800,영암군,전,gun,3498,155.0,854.0,1439.0,2162.0,2.5316,2795,2395,1488,188,84,11,245.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12810,무안군,답,gun,4527,340.0,1679.0,2706.0,4154.8,2.4746,4131,3871,3226,923,282,9,484.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12810,무안군,대,gun,1350,53.0,307.45,478.825,688.0,2.2378,689,314,44,6,2,9,142.0,True,[],better,B_ok
12,전남광주통합특별시,12810,무안군,전,gun,5784,145.0,991.85,1696.25,2780.94,2.8038,4746,4159,2832,472,134,9,495.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12820,함평군,답,gun,3904,322.86,1615.5,2585.0,3244.97,2.0086,3532,3300,2746,613,57,9,434.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12820,함평군,대,gun,1201,42.0,311.0,510.6,731.0,2.3505,624,320,43,3,3,9,130.0,True,[],better,B_ok
12,전남광주통합특별시,12820,함평군,전,gun,2716,139.0,851.5,1501.0,2252.0,2.6447,2182,1866,1178,128,43,9,253.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12830,영광군,답,gun,4144,460.3,2030.6,3282.85,4027.92,1.9836,3872,3695,3212,1251,173,10,379.5,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12830,영광군,대,gun,1444,66.3,341.0,535.25,783.0,2.2962,804,407,89,1,0,11,126.0,True,[],better,B_ok
12,전남광주통합특별시,12830,영광군,전,gun,2917,165.6,889.0,1495.0,2318.6,2.6081,2387,2039,1302,169,56,11,269.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12840,장성군,답,gun,3470,233.9,1363.95,2267.7,3002.0,2.201,3044,2760,2156,412,24,11,316.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12840,장성군,대,gun,974,32.0,246.5,442.75,640.8,2.5996,423,184,29,7,6,11,72.0,True,[],better,B_ok
12,전남광주통합특별시,12840,장성군,전,gun,2113,96.0,531.0,1058.0,1641.6,3.0915,1443,1106,586,58,25,11,220.0,True,[],better,B_ok
12,전남광주통합특별시,12850,완도군,답,gun,1885,192.6,972.0,1843.0,2948.0,3.0329,1598,1374,924,181,64,12,152.5,True,[],better,B_ok
12,전남광주통합특별시,12850,완도군,대,gun,1063,30.0,185.0,307.5,460.0,2.4865,284,87,11,0,0,12,92.0,True,[],better,B_ok
12,전남광주통합특별시,12850,완도군,전,gun,2364,147.3,804.0,1329.0,1914.6,2.3813,1857,1573,939,65,16,12,176.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12860,진도군,답,gun,3079,418.94,1922.2,2991.5,3998.3,2.0801,2848,2718,2327,759,133,7,453.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12860,진도군,대,gun,706,39.0,225.0,354.0,508.2,2.2587,246,76,9,0,0,7,91.0,True,[],better,B_ok
12,전남광주통합특별시,12860,진도군,전,gun,2719,217.4,1131.0,1782.0,2579.0,2.2803,2358,2113,1513,182,41,7,378.0,False,['p90_p50<3.0'],better,B_ok
12,전남광주통합특별시,12870,신안군,답,gun,4656,232.0,1500.0,2790.0,4000.0,2.6667,4075,3785,3068,1000,249,14,294.5,False,['p90_p50<3.0'],better,B_ok
