building_key,pnu,elevator,ride,emgen,n_dongs,mixed,floors_above,reason
267d9af30b96250337e545ba1617810d95111a49678c2a9b691d60b75bdebfcb,4111113300103640000,0,0,0,1,False,4,
26aa6ed15b7dd398e737c0a6413637bc25e3a10ab228af8a2d346aded5817bc0,4148010100109530012,0,0,0,1,False,4,
2724d91641faecac6039f8c166cbe991526541ecbf8a3d4293e623be96d55dc5,5176038026106780000,,22,0,14,True,4,mixed
2726980c3057e2afeb091dafd6c0dd1e6a54fcd0ed17929d2028669486b9abab,5011025923121450000,1,6,0,6,False,4,
27a192aeb6ba47e1c7807fb7c4f053cc3e494ddf672fd8e63593e432bf9be298,2623011000106750019,0,0,0,1,False,4,
27f0d059a797a16c059a7b6a534ede4c033239370d0ee3ee9c20f499bd45c0dc,5013011600146420001,1,2,0,2,False,4,
28392e59a19bcd3171d516fe97da6f810cbc305d036bfad37f99aae8fba5d54e,4413325022100650035,0,0,0,3,False,4,
2844bb02ef2edb8d7602fdc88867e919edf4bbbe3f687643ff7a925b8f6ee5bc,1230011400110010000,1,12,0,12,False,4,
286a1e8af44841388d22db2afdb5f95cd5772fd011d333a8c670d28d304ed846,4127310200108510001,0,0,0,6,False,4,
286ec27ab00cfd887e5fff78c7d0ca047739823a8044755309c161c546f1838d,4113510700102660000,0,0,0,12,False,4,
288e8c703e994a7ef5d4d3f1d51f5d7e09457b0f7948896f9cb77de18b4bceb4,5011011700127310001,1,6,0,6,False,4,
28fb43d15416a94241525b9fd9026348ef95e4c5f7fb280e63b5b3ed6cf40921,5172025029101060003,1,2,0,1,False,4,
29055a0da8029260c50e670ac2cc7ca45e34f47465667fcdcd7b02ce38d943f0,4146310200102730000,0,0,0,10,False,4,
290c7f741e6d9696316a6be91fe48674debbce1ed38f2daa5b1183a97fd2fde6,4137010100108840025,0,0,0,1,False,4,
2913617667ecafb3b705924d42e455d1ae3460e20f7ea6fda31b70542d908e25,5011025330113760002,1,4,0,4,False,4,
294a8113b8a20b84e422766fc37395f541412105e8ceac7abd375200cedeca37,5011012000106640021,,6,0,7,True,4,mixed
297a330c97342ee8bf9fac77ac3361d46ee33f5a911eb441b9a8f6ebad0cb3b4,4157010300113370001,1,19,0,7,False,5,
29b3d3f262da17b1413c03c1bc4af9c6f58be1f651e4aa14e8e571784b9b7a03,4182034521102350006,0,0,0,3,False,4,
2a21db6a87f1c4f23b44953e0115faaf4a02d8a283ffb57706e799f772167d51,2827511000100780037,0,0,0,1,False,4,
2a5f714786b18490c47aef4d25714ed84eebebe0d456ce8b8b25d54d57d4c22d,5011013000128740000,1,20,0,15,False,4,
2ac64153c133671fe374f9124c92c6a815f5e8f3d094a86c92cfd0b5d1a6e236,4427010200101420002,0,0,0,3,False,4,
2ad50d52f26ce5035db52f42f1501173a444430dbb25ff5c5b48fbbce12bf8a2,5011011600117390001,0,0,0,5,False,4,
2b21cac1560dfedffb1d2b044ccdc0b6bef1d69582f3b16f6bd81404eb08e8a0,5214012100108040014,0,0,0,1,False,4,
2b25b236c74d51628112038c2c600f901a3739ad13b7fb9a8e8cad8be1e56054,1168010800101540001,0,0,0,1,False,4,
2b43ea20d9ad80d71b6b2499e456d20388feeea627bebb390bebed81ba0d1a23,4146510500109250000,1,4,0,4,False,4,
2b7af3b8d0b091fbe109d4e8572c26913dea31108ab4652c8ab0b78d942e415a,1150010300100730073,1,1,0,1,False,4,
2b8bce55d6566ff036095e765c4fc76df18617dd970e58e47609de126c9d7140,5011025021132380000,0,0,0,2,False,4,
2bbb7b8912ecd97c8646649c8f9b156ef3ab1ccdc5ebcb8e69d1295781a5c8fa,1165010600100490020,0,0,0,1,False,4,
2bd636a9710e564b23693c37aa73f6b14d7222f65a433949ce2a5fb17c959bc1,1233011200107840000,1,88,0,30,False,4,
2c50069b2820e5cb6e2cb60d0a1aa8758eb270ff1c127c86781c73a5992629fa,4150031022103430017,1,2,0,2,False,4,
2c692125ac138de8319e836d82b60c76cc92c2232cda985c5851a4103601226c,4146510300106040001,1,6,0,6,False,4,
2c83c79842ac3a2525be73aeab79922eb8b3fcb2327f411a7f83e7dbb50ce1f8,2629010600100430027,0,0,0,1,False,4,
2ca7151b2f0e004b95d92d86a2c0bc2223a051de7f7283b9d415bb75afbd9654,4882043029104990009,0,0,0,1,False,4,
2d2880bb072f9990a95e03fe20f46a0c5a37038bd2cba6ffaf421fa8fb6a59a8,4723038021104070153,1,3,0,1,False,4,
2d5aa58ae39589242f66348273c576ca9a1af1bdb99ca9fe04152b0b2b3fb2a4,5013011200118470001,1,8,0,3,False,4,
2d64fe018d20fc5282f1df79e341738eb2b944ff471db485e50c7fad677ea45f,5111012000108660000,0,0,0,16,False,4,
2d7b15a9bb94ce81d3366ba4c80171b0f2751101280d54bd7c3a07c91deb95e6,1219010800102580003,0,0,0,10,False,4,
2d8975d3ac82a126b5765417b56d4d21a76fa3366f3f398b8dbfdb5496c909d6,4137010800105830000,1,22,0,10,False,4,
2dcbcbb38845ef561ffcaf8a54c0f4af5e45b422d30bcf2a46e740fcb43966b0,5011014000104670001,0,0,0,1,False,4,
2dd941c7e7d5ffa531742dd5b1842a2ad5bc6b7f4788b7a8b447dad80ef62dfa,5013031027113950000,1,9,0,9,False,4,
2deadf6a3e333e7dad20a2f13afd3fa803f83ae6339780a00591f78877006f59,5111031022103330006,0,0,0,3,False,4,
2e08da92f2801d949659fec7c6869b08faecac4bc8c5fba363f6e30f9474ba07,4482525022106080001,1,3,0,1,False,4,
2e2e2cb03443d0d07703d56b47647febabfd9be0f64c16608978d5c6185f666e,4159025626109230014,,,,0,False,,no_housing
2e99f2ff100dc562985022d467da8b943c94a0df088a9f6a9af9df0c1f525b58,5211310400115310028,0,0,0,1,False,4,
2f87275f326cbfc2b3d94367136e595f98dec5994a1ec57c1ee07a411f601ba5,4159026221102740000,,,,0,False,,no_housing
2fa01aaace7db4c65eb305c8e0badab020b56ee7387555372d21c298605a102b,2614012300104340086,0,0,0,3,False,4,
2fa6d77b20f34cb4190e4a54bbed4633dc23b0e8be8b77d62e962221a6e73da0,4119410500103760005,0,0,0,1,False,4,
