sido_name,sigungu_name,sigungu_code,land_category,region_type,n,n_tiny,n_body,n_large,n_below_floor,area_p25,area_p75,area_p90,tiny_aux,delta_mean_large,delta_median_large,ci_lo_large,ci_hi_large,direction_large,delta_mean_tiny,delta_median_tiny,ci_lo_tiny,ci_hi_tiny,direction_tiny
경상북도,영양군,47760,대,gun,372,91,187,38,3,205.0,466.0,682.5,True,-0.3259,-0.3833,-0.4483,-0.1481,lower,0.838,0.2,0.0,0.7407,neutral
경상북도,영양군,47760,전,gun,1963,469,978,197,25,456.0,2412.5,4186.6,True,-0.1554,0.0,-0.1333,0.0714,neutral,0.3166,0.0667,0.0,0.2857,neutral
경상북도,영덕군,47770,대,gun,837,180,418,84,31,92.0,347.0,519.8,True,-0.4102,-0.7165,-0.774,-0.4979,lower,0.5557,0.5118,-0.0035,1.1376,neutral
경상북도,영덕군,47770,전,gun,1523,348,761,153,33,339.0,1637.0,2801.6,True,-0.2795,-0.3,-0.4333,-0.1724,lower,1.4598,0.5333,0.2667,0.9337,higher
경상북도,청도군,47820,대,gun,801,163,403,81,39,52.0,337.0,502.0,True,0.0032,0.0,-0.1587,0.1001,neutral,0.4963,0.189,0.0526,0.6064,higher
경상북도,고령군,47830,대,gun,494,113,244,50,13,79.0,359.75,545.7,True,0.2057,0.1195,-0.2349,0.6761,neutral,0.698,0.3274,0.015,0.6239,higher
경상북도,고령군,47830,전,gun,884,197,438,89,28,258.0,1102.25,1778.1,True,0.008,0.0833,-0.0833,0.3335,neutral,0.1234,0.2667,0.0074,0.6699,higher
경상북도,성주군,47840,대,gun,895,199,450,90,26,101.0,374.0,520.8,True,-0.0923,-0.0926,-0.2364,0.1275,neutral,0.3729,0.3241,0.0385,0.446,higher
경상북도,성주군,47840,전,gun,1746,403,873,175,34,271.5,1220.0,1951.5,True,-0.3036,-0.0426,-0.1875,0.0455,neutral,0.1169,0.2128,0.0388,0.4043,higher
경상북도,칠곡군,47850,대,gun,699,144,347,70,33,93.0,401.0,631.74,True,0.0585,0.0747,-0.1878,0.5386,neutral,0.4492,0.1159,-0.0762,0.4538,neutral
경상북도,칠곡군,47850,전,gun,1216,242,608,122,63,188.0,1018.0,1759.5,True,-0.2594,-0.2007,-0.3211,-0.0417,lower,0.1852,0.083,-0.0327,0.3111,neutral
경상북도,예천군,47900,대,gun,816,197,406,82,9,185.0,527.42,819.5,True,0.9083,-0.2895,-0.4001,-0.1212,lower,0.1086,0.3947,0.0769,0.8056,higher
경상북도,봉화군,47920,대,gun,644,135,323,65,26,124.5,491.0,745.2,True,-0.2821,-0.0645,-0.2353,0.1618,neutral,1.4579,1.871,1.3333,2.9,higher
경상북도,봉화군,47920,전,gun,3089,750,1540,311,27,453.0,2793.0,4711.0,True,-0.1634,0.0588,-0.1176,0.1669,neutral,0.1762,0.1176,0.0,0.1765,neutral
경상북도,울진군,47930,대,gun,588,136,293,59,12,80.0,371.0,602.04,True,-0.6004,-0.7203,-0.9068,-0.3301,lower,0.4263,0.822,0.3381,1.5612,higher
경상북도,울진군,47930,전,gun,1806,393,898,182,63,278.0,1179.75,1884.0,True,-0.6184,-0.4783,-0.625,-0.381,lower,1.0221,1.0435,0.52,1.5714,higher
경상북도,울릉군,47940,전,gun,307,70,153,31,7,289.5,2672.5,7334.0,True,-0.7231,-0.7206,-0.7925,-0.5143,lower,0.5667,0.2243,-0.1987,0.7863,neutral
경상남도,창원시 의창구,48121,대,urban_rural,467,84,233,47,33,44.5,305.85,549.4,True,0.6731,-0.0752,-0.4025,1.2831,neutral,-0.3112,-0.089,-0.2818,0.1632,neutral
경상남도,창원시 의창구,48121,전,urban_rural,540,113,270,54,22,187.5,1009.0,1655.0,True,-0.1538,-0.3007,-0.4441,-0.0422,lower,0.3372,0.3176,-0.1618,0.7236,neutral
경상남도,창원시 마산합포구,48125,답,urban_rural,1259,279,628,127,37,251.0,1264.5,2000.0,True,-0.1656,-0.0125,-0.1364,0.0513,neutral,0.2802,0.175,0.0227,0.3545,higher
경상남도,창원시 마산합포구,48125,대,urban_rural,667,101,333,67,66,33.55,254.55,428.0,True,-0.1989,-0.5401,-0.6747,-0.1192,lower,0.1838,0.4252,0.1476,0.8634,higher
경상남도,창원시 마산합포구,48125,전,urban_rural,572,120,288,58,24,141.0,727.0,1208.8,True,-0.3012,-0.1023,-0.3694,0.1043,neutral,0.3857,0.0057,-0.1167,0.3093,neutral
경상남도,창원시 마산회원구,48127,답,urban_rural,346,69,172,35,18,218.25,969.5,1466.0,True,0.0968,-0.1319,-0.3749,0.4198,neutral,0.4702,0.6593,0.2718,1.3231,higher
경상남도,창원시 진해구,48129,답,urban_rural,518,92,258,52,38,154.25,1041.75,1679.2,True,-0.3704,-0.285,-0.4845,-0.0792,lower,0.3386,0.1916,-0.0099,0.5323,neutral
경상남도,창원시 진해구,48129,대,urban_rural,714,81,356,72,98,21.85,228.8,422.4,True,0.2163,-0.0079,-0.1388,0.3829,neutral,0.314,0.1079,0.0239,0.1887,higher
