통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 p)
"2.1.1.1. 주요지표(연간지표)","    총영업잉여","%","원자료","12.1","3.6","3.4","4.3","2.7","5.7","5.4","6.2","2.3","-1.9","-1.4","10.2","3.4","2.9","8.6","5.5"
"2.1.1.1. 주요지표(연간지표)","    순생산 및 수입세","%","원자료","11.8","3.9","2.4","0.1","4.3","7.0","6.8","5.6","2.6","1.4","3.9","11.8","3.0","-7.6","5.9","1.9"
"2.1.1.1. 주요지표(연간지표)","  농림어업(생산구조-명목)","%","원자료","2.2","2.3","2.3","2.2","2.1","2.1","1.9","1.9","1.7","1.6","1.7","1.8","1.6","1.6","1.5","1.5"
"2.1.1.1. 주요지표(연간지표)","  광공업","%","원자료","30.9","31.8","31.5","31.5","30.8","30.3","30.1","30.6","30.3","28.7","28.1","28.8","29.0","27.5","28.8","29.9"
"2.1.1.1. 주요지표(연간지표)","  (제조업)","%","원자료","30.8","31.6","31.3","31.3","30.7","30.2","29.9","30.5","30.2","28.6","28.0","28.7","28.9","27.4","28.8","29.9"
"2.1.1.1. 주요지표(연간지표)","  전기, 가스 및 수도사업","%","원자료","2.0","1.7","1.8","2.0","2.4","2.7","2.8","2.4","2.0","2.0","2.4","1.8","0.8","1.9","2.6","2.8"
"2.1.1.1. 주요지표(연간지표)","  건설업","%","원자료","4.8","4.6","4.6","4.7","4.8","5.1","5.5","5.8","5.7","5.8","5.8","5.6","5.7","5.6","5.2","4.6"
"2.1.1.1. 주요지표(연간지표)","  서비스업","%","원자료","60.1","59.7","59.9","59.6","59.9","59.8","59.8","59.4","60.2","61.8","62.0","62.0","63.0","63.4","61.8","61.2"
"2.1.1.1. 주요지표(연간지표)","  최종소비지출(지출구조-명목)","%","원자료","64.7","65.9","66.3","65.8","65.6","64.1","63.7","63.5","64.6","66.2","64.8","64.1","66.6","67.8","66.0","65.6"
"2.1.1.1. 주요지표(연간지표)","    민간","%","원자료","51.2","52.1","52.3","51.5","51.1","49.8","49.2","49.0","49.4","50.1","47.8","47.1","49.0","50.0","48.6","48.1"
"2.1.1.1. 주요지표(연간지표)","    정부","%","원자료","13.5","13.7","14.0","14.3","14.5","14.3","14.4","14.6","15.1","16.1","17.0","17.0","17.6","17.8","17.5","17.5"
"2.1.1.1. 주요지표(연간지표)","  총고정자본형성","%","원자료","30.5","30.6","29.9","29.2","29.2","29.2","29.9","31.7","30.5","30.1","31.0","31.4","31.8","31.4","30.2","28.4"
"2.1.1.1. 주요지표(연간지표)","  재화와 서비스의 수출","%","원자료","45.3","51.3","52.0","49.2","45.8","41.0","38.1","38.8","39.5","37.0","34.6","39.6","45.5","41.3","44.6","46.0"
"2.1.1.1. 주요지표(연간지표)","  (공제)재화와 서비스의 수입","%","원자료","42.8","50.4","49.5","44.9","41.1","34.4","31.8","34.3","35.3","34.4","30.9","36.3","45.5","40.8","40.5","40.5"
"2.1.1.1. 주요지표(연간지표)","  총본원소득(GNI)의분배","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","    요소소득별","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","      피용자보수","%","원자료","42.7","43.3","43.5","44.1","44.8","45.1","44.9","44.6","45.3","46.7","47.5","46.2","46.8","47.8","47.0","46.7"
"2.1.1.1. 주요지표(연간지표)","      기업 및 재산소득","%","원자료","29.8","28.9","28.5","28.2","27.4","27.3","27.6","27.9","26.9","24.7","22.9","23.8","22.2","21.7","22.8","23.2"
"2.1.1.1. 주요지표(연간지표)","      고정자본소모","%","원자료","17.9","18.4","18.8","18.8","18.8","18.6","18.5","18.4","18.8","19.6","20.4","20.5","21.6","22.1","21.9","22.0"
"2.1.1.1. 주요지표(연간지표)","      생산 및 수입세 (공제)보조금","%","원자료","9.5","9.4","9.2","8.9","8.9","9.0","9.1","9.1","9.0","8.9","9.2","9.5","9.3","8.3","8.3","8.1"
"2.1.1.1. 주요지표(연간지표)","    제도부문별","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","      가계","%","원자료","59.9","60.4","60.7","61.0","61.6","61.9","61.1","60.1","60.8","62.2","62.3","60.4","60.7","62.5","61.4","60.7"
"2.1.1.1. 주요지표(연간지표)","      기업","%","원자료","27.6","27.2","27.3","27.2","26.7","26.3","27.0","27.7","27.0","25.5","25.2","26.7","26.3","25.3","26.5","27.6"
"2.1.1.1. 주요지표(연간지표)","      정부","%","원자료","12.4","12.4","12.0","11.8","11.7","11.8","12.0","12.2","12.2","12.3","12.5","12.9","13.0","12.2","12.1","11.7"
"2.1.1.1. 주요지표(연간지표)","    요소소득별","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","      피용자보수","%","원자료","42.9","43.4","43.6","44.1","44.9","45.2","45.0","44.7","45.5","46.9","47.5","46.3","46.9","48.0","47.2","46.9"
"2.1.1.1. 주요지표(연간지표)","      기업 및 재산소득","%","원자료","29.9","29.0","28.6","28.3","27.5","27.4","27.6","28.0","27.0","24.8","23.0","23.9","22.3","21.8","22.9","23.3"
"2.1.1.1. 주요지표(연간지표)","      고정자본소모","%","원자료","18.0","18.5","18.9","18.8","18.9","18.7","18.5","18.5","18.9","19.7","20.4","20.5","21.7","22.2","22.0","22.1"
"2.1.1.1. 주요지표(연간지표)","      생산 및 수입세 (공제)보조금","%","원자료","9.6","9.4","9.3","8.9","8.9","9.0","9.1","9.1","9.0","9.0","9.2","9.5","9.4","8.4","8.3","8.1"
"2.1.1.1. 주요지표(연간지표)","      국외순수취경상이전","%","원자료","-0.4","-0.3","-0.3","-0.2","-0.2","-0.2","-0.3","-0.3","-0.4","-0.3","-0.2","-0.3","-0.2","-0.3","-0.4","-0.4"
"2.1.1.1. 주요지표(연간지표)","    제도부문별","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","      가계","%","원자료","55.6","55.8","55.8","55.9","56.4","56.7","55.4","54.1","54.6","55.9","57.4","54.9","55.4","56.5","56.0","55.7"
"2.1.1.1. 주요지표(연간지표)","      기업","%","원자료","23.7","23.0","23.2","23.2","22.8","22.6","23.3","23.9","22.6","21.5","22.5","23.5","22.1","21.5","23.7","24.1"
"2.1.1.1. 주요지표(연간지표)","      정부","%","원자료","20.6","21.2","21.0","20.9","20.8","20.7","21.4","22.0","22.9","22.5","20.1","21.6","22.5","21.9","20.3","20.2"
"2.1.1.1. 주요지표(연간지표)","  총조정처분가능소득의분배","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","    제도부문별","","원자료","","","","","","","","","","","","","","","",""
"2.1.1.1. 주요지표(연간지표)","      가계","%","원자료","62.7","63.0","63.2","63.5","64.3","64.6","63.3","62.1","63.0","64.9","66.8","64.4","65.2","66.5","65.6","65.5"
"2.1.1.1. 주요지표(연간지표)","      기업","%","원자료","23.7","23.0","23.2","23.2","22.8","22.6","23.3","23.9","22.6","21.5","22.5","23.5","22.1","21.5","23.7","24.1"
"2.1.1.1. 주요지표(연간지표)","      정부","%","원자료","13.6","14.0","13.6","13.3","12.9","12.8","13.4","14.0","14.5","13.6","10.7","12.2","12.8","12.0","10.7","10.5"
"2.1.1.1. 주요지표(연간지표)","  피용자보수비율","%","원자료","58.9","60.0","60.4","61.0","62.0","62.3","62.0","61.5","62.8","65.4","67.4","66.0","67.8","68.8","67.4","66.8"
"2.1.1.1. 주요지표(연간지표)","    가계총처분가능소득","십억원","원자료","765,740.8","810,350.0","845,264.7","882,257.4","926,680.2","988,356.0","1,015,405.5","1,046,674.9","1,095,456.0","1,147,008.9","1,188,519.6","1,230,115.3","1,302,267.7","1,375,617.9","1,450,565.1","1,507,977.1"
"2.1.1.1. 주요지표(연간지표)","    실질가계총처분가능소득","십억원","원자료","894,698.6","912,852.9","930,716.0","960,569.8","996,426.8","1,052,663.3","1,067,290.4","1,078,905.2","1,113,512.2","1,157,699.0","1,188,519.6","1,199,677.6","1,215,939.6","1,241,037.4","1,282,456.4","1,309,831.2"
"2.1.1.1. 주요지표(연간지표)","    가계총저축","십억원","원자료","66,744.5","64,283.2","71,249.9","83,967.8","100,476.3","131,415.5","125,086.2","113,591.4","116,851.1","139,588.4","219,386.5","198,337.9","175,682.8","183,734.8","217,668.7","228,172.4"
"2.1.1.1. 주요지표(연간지표)","  총저축률","%","원자료","35.1","34.3","34.2","34.5","34.6","35.9","36.4","36.5","35.5","34.2","35.6","36.4","34.1","32.9","34.7","35.1"
