change_type,historical_code,historical_name,historical_status,canonical_code,canonical_name,canonical_candidates,rationale,in_region_codes,region_codes_active,region_codes_eup_name,tx_count_historical,tx_count_canonical,stats_v2_historical,stats_v2_canonical,exemplar,notes
code_reissue,4159025336,경기도 화성시 봉담읍 상기리,폐지,4159325036,경기도 화성시 효행구 봉담읍 상기리,4159325036|경기도 화성시 효행구 봉담읍 상기리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('봉담읍' '상기리'), 시군구 41590→41593, 코드 4159025336→4159325036",True,True,봉담읍,1027,0,638,0,,
code_reissue,4159025621,경기도 화성시 우정읍 원안리,폐지,4159125021,경기도 화성시 만세구 우정읍 원안리,4159125021|경기도 화성시 만세구 우정읍 원안리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '원안리'), 시군구 41590→41591, 코드 4159025621→4159125021",True,True,우정읍,1008,0,426,0,,
code_reissue,4159025622,경기도 화성시 우정읍 호곡리,폐지,4159125022,경기도 화성시 만세구 우정읍 호곡리,4159125022|경기도 화성시 만세구 우정읍 호곡리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '호곡리'), 시군구 41590→41591, 코드 4159025622→4159125022",True,True,우정읍,3303,0,657,0,,
code_reissue,4159025623,경기도 화성시 우정읍 운평리,폐지,4159125023,경기도 화성시 만세구 우정읍 운평리,4159125023|경기도 화성시 만세구 우정읍 운평리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '운평리'), 시군구 41590→41591, 코드 4159025623→4159125023",True,True,우정읍,1325,0,476,0,,
code_reissue,4159025624,경기도 화성시 우정읍 한각리,폐지,4159125024,경기도 화성시 만세구 우정읍 한각리,4159125024|경기도 화성시 만세구 우정읍 한각리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '한각리'), 시군구 41590→41591, 코드 4159025624→4159125024",True,True,우정읍,581,0,425,0,,
code_reissue,4159025625,경기도 화성시 우정읍 멱우리,폐지,4159125025,경기도 화성시 만세구 우정읍 멱우리,4159125025|경기도 화성시 만세구 우정읍 멱우리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '멱우리'), 시군구 41590→41591, 코드 4159025625→4159125025",True,True,우정읍,831,0,526,0,,
code_reissue,4159025626,경기도 화성시 우정읍 화수리,폐지,4159125026,경기도 화성시 만세구 우정읍 화수리,4159125026|경기도 화성시 만세구 우정읍 화수리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '화수리'), 시군구 41590→41591, 코드 4159025626→4159125026",True,True,우정읍,1853,0,444,0,,
code_reissue,4159025627,경기도 화성시 우정읍 주곡리,폐지,4159125027,경기도 화성시 만세구 우정읍 주곡리,4159125027|경기도 화성시 만세구 우정읍 주곡리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '주곡리'), 시군구 41590→41591, 코드 4159025627→4159125027",True,True,우정읍,3784,0,676,0,,
code_reissue,4159025628,경기도 화성시 우정읍 이화리,폐지,4159125028,경기도 화성시 만세구 우정읍 이화리,4159125028|경기도 화성시 만세구 우정읍 이화리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '이화리'), 시군구 41590→41591, 코드 4159025628→4159125028",True,True,우정읍,1975,0,631,0,,
code_reissue,4159025629,경기도 화성시 우정읍 석천리,폐지,4159125029,경기도 화성시 만세구 우정읍 석천리,4159125029|경기도 화성시 만세구 우정읍 석천리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '석천리'), 시군구 41590→41591, 코드 4159025629→4159125029",True,True,우정읍,2422,0,316,0,,
code_reissue,4159025630,경기도 화성시 우정읍 매향리,폐지,4159125030,경기도 화성시 만세구 우정읍 매향리,4159125030|경기도 화성시 만세구 우정읍 매향리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '매향리'), 시군구 41590→41591, 코드 4159025630→4159125030",True,True,우정읍,3131,0,366,0,,
code_reissue,4159025631,경기도 화성시 우정읍 화산리,폐지,4159125031,경기도 화성시 만세구 우정읍 화산리,4159125031|경기도 화성시 만세구 우정읍 화산리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '화산리'), 시군구 41590→41591, 코드 4159025631→4159125031",True,True,우정읍,2527,0,639,0,,
code_reissue,4159025632,경기도 화성시 우정읍 조암리,폐지,4159125032,경기도 화성시 만세구 우정읍 조암리,4159125032|경기도 화성시 만세구 우정읍 조암리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '조암리'), 시군구 41590→41591, 코드 4159025632→4159125032",True,True,우정읍,2490,0,832,0,,
code_reissue,4159025633,경기도 화성시 우정읍 국화리,폐지,4159125033,경기도 화성시 만세구 우정읍 국화리,4159125033|경기도 화성시 만세구 우정읍 국화리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('우정읍' '국화리'), 시군구 41590→41591, 코드 4159025633→4159125033",True,True,우정읍,66,0,208,0,,
code_reissue,4159025921,경기도 화성시 향남읍 평리,폐지,4159125321,경기도 화성시 만세구 향남읍 평리,4159125321|경기도 화성시 만세구 향남읍 평리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '평리'), 시군구 41590→41591, 코드 4159025921→4159125321",True,True,향남읍,1140,0,350,0,,
code_reissue,4159025922,경기도 화성시 향남읍 발안리,폐지,4159125322,경기도 화성시 만세구 향남읍 발안리,4159125322|경기도 화성시 만세구 향남읍 발안리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '발안리'), 시군구 41590→41591, 코드 4159025922→4159125322",True,True,향남읍,306,0,310,0,,
code_reissue,4159025923,경기도 화성시 향남읍 제암리,폐지,4159125323,경기도 화성시 만세구 향남읍 제암리,4159125323|경기도 화성시 만세구 향남읍 제암리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '제암리'), 시군구 41590→41591, 코드 4159025923→4159125323",True,True,향남읍,1035,0,297,0,,
code_reissue,4159025924,경기도 화성시 향남읍 상신리,폐지,4159125324,경기도 화성시 만세구 향남읍 상신리,4159125324|경기도 화성시 만세구 향남읍 상신리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '상신리'), 시군구 41590→41591, 코드 4159025924→4159125324",True,True,향남읍,3912,0,1076,0,,
code_reissue,4159025925,경기도 화성시 향남읍 구문천리,폐지,4159125325,경기도 화성시 만세구 향남읍 구문천리,4159125325|경기도 화성시 만세구 향남읍 구문천리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '구문천리'), 시군구 41590→41591, 코드 4159025925→4159125325",True,True,향남읍,2734,0,667,0,,
code_reissue,4159025926,경기도 화성시 향남읍 하길리,폐지,4159125326,경기도 화성시 만세구 향남읍 하길리,4159125326|경기도 화성시 만세구 향남읍 하길리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '하길리'), 시군구 41590→41591, 코드 4159025926→4159125326",True,True,향남읍,4880,0,930,0,,
code_reissue,4159025927,경기도 화성시 향남읍 화리현리,폐지,4159125327,경기도 화성시 만세구 향남읍 화리현리,4159125327|경기도 화성시 만세구 향남읍 화리현리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '화리현리'), 시군구 41590→41591, 코드 4159025927→4159125327",True,True,향남읍,2296,0,563,0,,
code_reissue,4159025928,경기도 화성시 향남읍 상두리,폐지,4159125328,경기도 화성시 만세구 향남읍 상두리,4159125328|경기도 화성시 만세구 향남읍 상두리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '상두리'), 시군구 41590→41591, 코드 4159025928→4159125328",True,True,향남읍,941,0,352,0,,
code_reissue,4159025929,경기도 화성시 향남읍 백토리,폐지,4159125329,경기도 화성시 만세구 향남읍 백토리,4159125329|경기도 화성시 만세구 향남읍 백토리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '백토리'), 시군구 41590→41591, 코드 4159025929→4159125329",True,True,향남읍,1163,0,305,0,,
code_reissue,4159025930,경기도 화성시 향남읍 길성리,폐지,4159125330,경기도 화성시 만세구 향남읍 길성리,4159125330|경기도 화성시 만세구 향남읍 길성리,"분구·시군구코드 재부여 1:1 (cross_sg_eup) — 읍면동·리명 동일 ('향남읍' '길성리'), 시군구 41590→41591, 코드 4159025930→4159125330",True,True,향남읍,1648,0,406,0,,
