historical_code,canonical_code,historical_name,canonical_name,tx_count_historical,tx_count_db,mapping_ok,action,exemplar
4159034021,4159132021,경기도 화성시 송산면 사강리,경기도 화성시 만세구 송산면 사강리,3288,3288,True,already_present,
4159034022,4159132022,경기도 화성시 송산면 봉가리,경기도 화성시 만세구 송산면 봉가리,1391,1391,True,already_present,
4159034023,4159132023,경기도 화성시 송산면 삼존리,경기도 화성시 만세구 송산면 삼존리,1863,1863,True,already_present,
4159034024,4159132024,경기도 화성시 송산면 용포리,경기도 화성시 만세구 송산면 용포리,1499,1499,True,already_present,
4159034025,4159132025,경기도 화성시 송산면 고정리,경기도 화성시 만세구 송산면 고정리,1951,1951,True,already_present,
4159034026,4159132026,경기도 화성시 송산면 쌍정리,경기도 화성시 만세구 송산면 쌍정리,2683,2683,True,already_present,
4159034027,4159132027,경기도 화성시 송산면 천등리,경기도 화성시 만세구 송산면 천등리,876,876,True,already_present,
4159034028,4159132028,경기도 화성시 송산면 신천리,경기도 화성시 만세구 송산면 신천리,983,983,True,already_present,
4159034029,4159132029,경기도 화성시 송산면 독지리,경기도 화성시 만세구 송산면 독지리,3358,3358,True,already_present,
4159034030,4159132030,경기도 화성시 송산면 마산리,경기도 화성시 만세구 송산면 마산리,2937,2937,True,already_present,
4159034031,4159132031,경기도 화성시 송산면 고포리,경기도 화성시 만세구 송산면 고포리,3304,3304,True,already_present,
4159034032,4159132032,경기도 화성시 송산면 지화리,경기도 화성시 만세구 송산면 지화리,2387,2387,True,already_present,
4159034033,4159132033,경기도 화성시 송산면 중송리,경기도 화성시 만세구 송산면 중송리,2315,2315,True,already_present,
4159034034,4159132034,경기도 화성시 송산면 육일리,경기도 화성시 만세구 송산면 육일리,1243,1243,True,already_present,
4159034035,4159132035,경기도 화성시 송산면 칠곡리,경기도 화성시 만세구 송산면 칠곡리,1352,1352,True,already_present,
4159035021,4159133021,경기도 화성시 서신면 전곡리,경기도 화성시 만세구 서신면 전곡리,1612,1612,True,already_present,
4159035022,4159133022,경기도 화성시 서신면 상안리,경기도 화성시 만세구 서신면 상안리,1169,1169,True,already_present,
